num,block_height,elapsed_time
325,326,618.601210096
326,327,14.159093114
327,328,48.431850089
328,329,57.318962729
329,330,47.059294851
330,331,653.803270691
331,332,6.031293922
332,333,652.745057613
333,334,28.272102518
334,335,18.306581962
335,336,58.067128933
336,337,5.73056056
337,338,12.129196546
338,339,624.9496634879999
339,340,1840.267909943
340,341,30.084734616
341,342,5.3273956
342,343,40.477698377
343,344,20.288420262
344,345,10.88658982
345,346,633.625956607
346,347,21.897532144
347,348,40.742672699
348,349,24.533979614
349,350,1237.531029419
350,351,602.714783193
351,352,16.300311258
352,353,631.442106137
353,354,5.916161177
354,355,603.75371439
355,356,1214.028778304
356,357,619.15409164
357,358,639.7655655359999
358,359,53.263128015
359,360,32.789232784
360,361,7.324515289
361,362,59.458449223
362,363,641.172135576
363,364,14.193937144
364,365,645.317619475
365,366,21.025618907
366,367,3620.805496491
367,368,39.59158292
368,369,656.02579848
369,370,6.38157555
370,371,4.664674467
371,372,5.377161236
372,373,620.007718991
373,374,31.904355944
374,375,18.913760479
375,376,607.66812565
376,377,20.39526553
377,378,18.830590292
378,379,17.007825482
379,380,621.932632143
380,381,21.044402027
381,382,3033.010797337
382,383,9.185108768
383,384,1203.932556081
384,385,21.790678543
385,386,15.761407244
386,387,1.5489430999999998
387,388,1241.378881337
388,389,631.906783383
389,390,7.34248188
390,391,656.386273358
391,392,1236.894223845
392,393,1259.276377104
393,394,2.111256489
394,395,27.525461574
395,396,3637.985896661
396,397,5.605993099
397,398,655.494591811
398,399,46.879779316
399,400,39.517193054
400,401,24.094031034
401,402,46.783352733
402,403,639.364151477
403,404,1236.998752369
404,405,4.994407416
405,406,57.863976059
406,407,11.182471873
407,408,3001.43258373
408,409,1822.471343882
409,410,1250.292007306
410,411,3.484725313
411,412,11.494888777
412,413,14.300918944
413,414,48.068251733
414,415,6.075589904
415,416,613.109950785
416,417,1234.083359515
417,418,13.229066161
418,419,621.927134913
419,420,8.475638863
420,421,1240.961240795
421,422,9.138863192
422,423,8.274220948
423,424,632.419818576
424,425,1226.479437163
425,426,11.239681437
426,427,1814.295576397
427,428,630.069242729
428,429,31.672805523
429,430,2418.71603202
430,431,610.956603607
431,432,25.188913976
432,433,1223.667015812
433,434,614.807676049
434,435,656.518562268
435,436,25.171667744
436,437,45.775330538
437,438,45.492352944
438,439,658.308349428
439,440,29.289883344
440,441,606.8577978
441,442,27.704636528
442,443,14.143245844
443,444,3053.372442574
444,445,602.119217894
445,446,29.516976513
446,447,647.435464511
447,448,18.756311247
448,449,1836.718163054
449,450,10.024373599
450,451,632.801724537
451,452,2446.654368032
452,453,37.743953641
453,454,10.271533295
454,455,9.44674565
455,456,12.789636427
456,457,621.01772565
457,458,35.69135376
458,459,1817.694751951
459,460,604.154890721
460,461,53.994495646
461,462,632.210939884
462,463,1204.545371965
463,464,1.816684974
464,465,618.61689347
465,466,1.232093879
466,467,631.417305427
467,468,23.93611047
468,469,6.767339761
469,470,600.119120885
470,471,1852.707807979
471,472,13.504235517
472,473,2.950294125
473,474,5.453778768
474,475,3018.385841079
475,476,56.406977638
476,477,32.750202729
477,478,37.929679592
478,479,1241.388100102
479,480,27.199158445
480,481,54.43894453
481,482,600.698160894
482,483,28.668508855
483,484,3004.556761162
484,485,1255.759228061
485,486,615.400654373
486,487,644.080428035
487,488,632.316481858
488,489,1203.993142706
489,490,17.281239553
490,491,1227.231934332
491,492,613.247766038
492,493,55.297416964
493,494,17.02025861
494,495,2408.867025031
495,496,22.908365086
496,497,15.705160789
497,498,3000.341107092
498,499,30.530506745
499,500,18.26452922
500,501,655.568853509
501,502,8.075673523
502,503,11.966455586
503,504,29.046740833
504,505,1225.081880716
505,506,635.966523122
506,507,1839.065459126
507,508,56.700956622
508,509,606.790109051
509,510,59.225937663
510,511,39.985876638
511,512,39.585658728
512,513,623.458721111
513,514,3.753437317
514,515,5.788247054
515,516,613.459977619
516,517,36.598516479
517,518,606.241514631
518,519,22.123122061
519,520,619.224510198
520,521,1217.259231339
521,522,29.814036364
522,523,601.257176806
523,524,1854.794251299
524,525,6.54519929
525,526,27.766266147
526,527,15.999571666
527,528,24.129265228
528,529,4219.345824841
529,530,1210.034807804
530,531,32.067831731
531,532,1.133148676
532,533,1253.429296876
533,534,31.270041812
534,535,33.037186852
535,536,1819.759953261
536,537,52.380988278
537,538,4.018569213
538,539,8.518869245
539,540,2450.307519236
540,541,7.022956273
541,542,47.880363915
542,543,11.218075518
543,544,647.965644976
544,545,33.800679133
545,546,27.569878721
546,547,601.927392685
547,548,36.5807887
548,549,1245.687092199
549,550,22.927194594
550,551,1202.809465519
551,552,26.141155657
552,553,7.243576999
553,554,625.988188922
554,555,43.688482728
555,556,20.627114253
556,557,57.05256851
557,558,2417.201623496
558,559,1244.186673636
559,560,30.754022636
560,561,36.463566955
561,562,45.273387042
562,563,27.913266489
563,564,32.652817215
564,565,608.721966102
565,566,9.302892457
566,567,3.717974277
567,568,5.809221048
568,569,12.82816839
569,570,58.307381557
570,571,36.885216493
571,572,14.204036099
572,573,28.000496968
573,574,53.440014624
574,575,53.360365747
575,576,631.120447329
576,577,5402.486778889
